time[s],data(t-1)[degree],data(t),data(t+1),Average
4310,143.3456,143.3456,143.3456,143.3456
4320,143.3456,143.3456,143.3456,143.3456
4330,143.3456,143.3456,143.3456,143.3456
4340,143.834,143.3456,143.3456,143.5084
4350,143.834,143.834,143.3456,143.6712
4360,143.834,143.834,143.834,143.834
4370,143.834,143.834,143.834,143.834
4380,144.3224,143.834,143.834,143.9968
4390,143.834,144.3224,143.834,143.9968
4400,144.3224,143.834,144.3224,144.1596
4410,143.834,144.3224,143.834,143.9968
4420,144.3224,143.834,144.3224,144.1596
4430,143.834,144.3224,143.834,143.9968
4440,143.834,143.834,144.3224,143.9968
4450,144.8108,143.834,143.834,144.1596
4460,144.3224,144.8108,143.834,144.3224
4470,144.8108,144.3224,144.8108,144.648
4480,144.8108,144.8108,144.3224,144.648
4490,144.8108,144.8108,144.8108,144.8108
4500,144.8108,144.8108,144.8108,144.8108
4510,144.8108,144.8108,144.8108,144.8108
4520,144.8108,144.8108,144.8108,144.8108
4530,144.8108,144.8108,144.8108,144.8108
4540,144.8108,144.8108,144.8108,144.8108
4550,144.8108,144.8108,144.8108,144.8108
4560,144.8108,144.8108,144.8108,144.8108
4570,144.8108,144.8108,144.8108,144.8108
4580,144.8108,144.8108,144.8108,144.8108
4590,145.2992,144.8108,144.8108,144.9736
4600,144.8108,145.2992,144.8108,144.9736
4610,144.8108,144.8108,145.2992,144.9736
4620,145.2992,144.8108,144.8108,144.9736
4630,144.8108,145.2992,144.8108,144.9736
4640,145.2992,144.8108,145.2992,145.1364
4650,145.2992,145.2992,144.8108,145.1364
4660,144.8108,145.2992,145.2992,145.1364
4670,145.7876,144.8108,145.2992,145.2992
4680,145.7876,145.7876,144.8108,145.462
4690,145.2992,145.7876,145.7876,145.6248
4700,145.7876,145.2992,145.7876,145.6248
4710,145.2992,145.7876,145.2992,145.462
4720,145.7876,145.2992,145.7876,145.6248
4730,145.7876,145.7876,145.2992,145.6248
4740,145.7876,145.7876,145.7876,145.7876
4750,145.2992,145.7876,145.7876,145.6248
4760,145.7876,145.2992,145.7876,145.6248
4770,145.7876,145.7876,145.2992,145.6248
4780,146.276,145.7876,145.7876,145.9504
4790,145.7876,146.276,145.7876,145.9504
4800,145.7876,145.7876,146.276,145.9504
4810,146.276,145.7876,145.7876,145.9504
4820,146.276,146.276,145.7876,146.1132
4830,145.7876,146.276,146.276,146.1132
4840,145.7876,145.7876,146.276,145.9504
4850,146.276,145.7876,145.7876,145.9504
4860,146.276,146.276,145.7876,146.1132
4870,146.276,146.276,146.276,146.276
4880,145.7876,146.276,146.276,146.1132
4890,145.7876,145.7876,146.276,145.9504
4900,145.7876,145.7876,145.7876,145.7876
4910,146.276,145.7876,145.7876,145.9504
4920,146.276,146.276,145.7876,146.1132
4930,146.276,146.276,146.276,146.276
4940,146.7644,146.276,146.276,146.4388
4950,145.7876,146.7644,146.276,146.276
4960,146.7644,145.7876,146.7644,146.4388
4970,146.276,146.7644,145.7876,146.276
4980,146.7644,146.276,146.7644,146.6016
4990,146.7644,146.7644,146.276,146.6016
5000,146.7644,146.7644,146.7644,146.7644
5010,146.7644,146.7644,146.7644,146.7644
5020,146.7644,146.7644,146.7644,146.7644
5030,146.7644,146.7644,146.7644,146.7644
5040,146.7644,146.7644,146.7644,146.7644
